consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
122051,Florida,Urban,2016-03-07T15:22:00Z,Daylight,27.63887222,-80.3877,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120080,Florida,Rural,2016-01-15T16:45:00Z,Daylight,28.44159167,-82.48600833,Dry,Not Reported,Curve Right,Sag (Bottom),No,55,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120082,Florida,Urban,2016-01-16T17:47:00Z,Daylight,27.90925556,-82.76238611,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120622,Florida,Rural,2016-04-04T16:19:00Z,Daylight,27.08451667,-82.11983611,Dry,Not Reported,Curve Left,Level,"Yes, Exceeded Speed Limit",80,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121113,Florida,Urban,2016-05-28T22:30:00Z,Dark – Lighted,25.88138333,-80.28352778,Dry,Not Reported,Straight,Level,No,90,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
122768,Florida,Rural,2016-12-20T17:25:00Z,Daylight,27.82137222,-82.20835556,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122873,Florida,Urban,2016-12-22T21:25:00Z,Dark – Not Lighted,28.20216389,-81.47556389,Dry,Not Reported,Straight,Level,No,55,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122623,Florida,Urban,2016-12-07T12:04:00Z,Daylight,30.20425833,-81.75174167,Dry,Not Reported,Straight,Level,No,40,Other Cellular Phone Related,None/Apparently Normal,No Obstruction Noted,Clear
122408,Florida,Urban,2016-11-08T14:28:00Z,Daylight,27.78092778,-82.69301111,Dry,Not Reported,Straight,Level,No,40,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
120919,Florida,Urban,2016-05-07T22:24:00Z,Dark – Lighted,25.84707778,-80.26616944,Dry,Not Reported,Straight,Level,No,10,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122233,Florida,Urban,2016-04-27T22:24:00Z,Dark – Not Lighted,28.43658333,-81.34954444,Dry,Not Reported,Straight,Level,No,35,Not Distracted,None/Apparently Normal,Other Visual Obstruction,Clear
